On day 1  price is $11.75
On day 2  price is $12.58
On day 3  price is $12.02
On day 4  price is $12.78
On day 5  price is $14.19
On day 6  price is $14.70
On day 7  price is $15.70
On day 8  price is $15.58
On day 9  price is $17.94
On day 10  price is $18.59
On day 11  price is $18.15
On day 12  price is $19.79
On day 13  price is $23.02
On day 14  price is $22.35
On day 15  price is $23.39
On day 16  price is $27.29
On day 17  price is $31.53
On day 18  price is $32.16
On day 19  price is $36.50
On day 20  price is $35.25
On day 21  price is $40.66
On day 22  price is $46.69
On day 23  price is $54.75
On day 24  price is $53.18
On day 25  price is $59.70
On day 26  price is $56.92
On day 27  price is $64.63
On day 28  price is $61.68
On day 29  price is $59.99
On day 30  price is $63.93
On day 31  price is $61.84
On day 32  price is $60.45
On day 33  price is $58.37
On day 34  price is $55.80
On day 35  price is $53.48
On day 36  price is $52.14
On day 37  price is $55.44
On day 38  price is $55.13
On day 39  price is $52.95
On day 40  price is $50.54
On day 41  price is $50.30
On day 42  price is $49.33
On day 43  price is $52.68
On day 44  price is $58.53
On day 45  price is $63.80
On day 46  price is $62.10
On day 47  price is $60.69
On day 48  price is $65.09
On day 49  price is $63.68
On day 50  price is $63.16
On day 51  price is $73.88
On day 52  price is $73.25
On day 53  price is $72.33
On day 54  price is $73.08
On day 55  price is $72.06
On day 56  price is $74.69
On day 57  price is $78.51
On day 58  price is $89.47
On day 59  price is $96.34
On day 60  price is $105.24
